20140901,253855391.77,233062121.50
20140902,253865770.15,232840613.63
20140903,253876148.53,232619105.76
20140904,253886526.90,232397597.90
20140905,253896905.28,232176090.03
20140906,253907283.66,231954582.16
20140907,253917662.03,231733074.29
20140908,253928040.41,231511566.43
20140909,253938418.79,231290058.56
20140910,253948797.17,231068550.69
20140911,253959175.54,230847042.83
20140912,253969553.92,230625534.96
20140913,253979932.30,230404027.09
20140914,253990310.67,230182519.23
20140915,254000689.05,229961011.36
20140916,254011067.43,229739503.49
20140917,254021445.80,229517995.63
20140918,254031824.18,229296487.76
20140919,254042202.56,229074979.89
20140920,254052580.94,228853472.02
20140921,254062959.31,228631964.16
20140922,254073337.69,228410456.29
20140923,254083716.07,228188948.42
20140924,254094094.44,227967440.56
20140925,254104472.82,227745932.69
20140926,254114851.20,227524424.82
20140927,254125229.58,227302916.96
20140928,254135607.95,227081409.09
20140929,254145986.33,226859901.22
20140930,254156364.71,226638393.36
